epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.229,0.91348,1.021,1.40507,0.20008,0.77479,0.19295,0.1402,0.99157,3.50676,1.5177,0.00333101,0.00333101,0.00333101
2,358.474,0.91644,1.01784,1.39903,0.20156,0.76361,0.19373,0.14269,0.95403,3.96127,1.47106,0.0064994,0.0064994,0.0064994
3,525.612,0.94144,1.03521,1.41063,0.19763,0.68456,0.18176,0.1231,1.12339,3.70624,1.6627,0.0095028,0.0095028,0.0095028
4,691.624,0.96036,1.04188,1.42673,0.19919,0.7487,0.18691,0.13521,1.01672,4.13196,1.54886,0.0092575,0.0092575,0.0092575
5,857.517,0.93796,1.02505,1.41227,0.20033,0.75242,0.19516,0.14309,0.95679,3.59932,1.46542,0.00901,0.00901,0.00901
6,1022.37,0.92379,0.99951,1.40125,0.20069,0.78001,0.19406,0.14473,0.94816,3.63436,1.45416,0.0087625,0.0087625,0.0087625
7,1188.11,0.91096,0.9993,1.3941,0.20262,0.75913,0.19925,0.14948,0.92933,3.89463,1.43893,0.008515,0.008515,0.008515
8,1353.79,0.90341,0.98587,1.38763,0.19948,0.78598,0.19796,0.14992,0.90829,3.7634,1.42039,0.0082675,0.0082675,0.0082675
9,1518.87,0.88877,0.96297,1.37852,0.20174,0.77181,0.20178,0.15185,0.91649,3.87299,1.41347,0.00802,0.00802,0.00802
10,1682.53,0.88767,0.95615,1.37499,0.20155,0.78151,0.19659,0.14943,0.88696,3.79786,1.38174,0.0077725,0.0077725,0.0077725
11,1845.96,0.8767,0.94724,1.3679,0.20358,0.77107,0.19828,0.15171,0.8831,4.1878,1.37766,0.007525,0.007525,0.007525
12,2011.14,0.86558,0.93926,1.3556,0.20242,0.78076,0.19723,0.1517,0.86841,3.95359,1.35837,0.0072775,0.0072775,0.0072775
13,2175.95,0.86472,0.92906,1.3525,0.20384,0.78598,0.19796,0.1536,0.84847,3.73951,1.3438,0.00703,0.00703,0.00703
14,2339.37,0.85029,0.9169,1.34371,0.20066,0.79344,0.196,0.15339,0.83335,3.79387,1.31225,0.0067825,0.0067825,0.0067825
15,2502.14,0.84537,0.91285,1.34207,0.20283,0.77927,0.20145,0.15706,0.82653,3.90267,1.30387,0.006535,0.006535,0.006535
16,2665.28,0.83163,0.89916,1.33148,0.20182,0.79493,0.19711,0.15534,0.8089,3.87991,1.29457,0.0062875,0.0062875,0.0062875
17,2825.68,0.82802,0.89147,1.32839,0.20248,0.79791,0.19821,0.15662,0.81729,3.8289,1.2911,0.00604,0.00604,0.00604
18,2988.53,0.82213,0.88323,1.3206,0.20221,0.77778,0.1975,0.1568,0.80592,3.88938,1.27949,0.0057925,0.0057925,0.0057925
19,3151.33,0.82444,0.88283,1.32,0.20334,0.7994,0.20149,0.16086,0.78489,3.77551,1.24946,0.005545,0.005545,0.005545
20,3314.02,0.81004,0.86364,1.31487,0.20187,0.78747,0.20022,0.16135,0.77465,3.84206,1.24736,0.0052975,0.0052975,0.0052975
21,3477.2,0.80615,0.85976,1.31085,0.20012,0.80835,0.19801,0.15883,0.7767,3.79345,1.24223,0.00505,0.00505,0.00505
22,3640.19,0.7965,0.85415,1.30391,0.20152,0.79344,0.19946,0.16081,0.76953,3.74923,1.23326,0.0048025,0.0048025,0.0048025
23,3802.05,0.78894,0.85317,1.29781,0.19966,0.83147,0.20304,0.16453,0.76034,3.78392,1.22813,0.004555,0.004555,0.004555
24,3966.36,0.79252,0.84328,1.2957,0.2023,0.7994,0.2012,0.16359,0.76002,3.80138,1.21641,0.0043075,0.0043075,0.0043075
25,4132.18,0.78179,0.83396,1.29266,0.20185,0.79979,0.20169,0.16371,0.75146,3.82896,1.2175,0.00406,0.00406,0.00406
26,4297.43,0.77302,0.83117,1.28409,0.20198,0.7994,0.19859,0.16163,0.74413,3.83882,1.20712,0.0038125,0.0038125,0.0038125
27,4460.99,0.76696,0.81653,1.27865,0.20005,0.83072,0.20045,0.16412,0.73537,3.85569,1.19862,0.003565,0.003565,0.003565
